PairHMM TKF92 with independent site classes over emissions
  - Number of site classes for substitution model: 1
  - Loss function: joint
  - Normalizing losses by: desc_len

2: model init

3: main training loop
New best test loss at epoch 148: 5.591233730316162
New best test loss at epoch 149: 5.590439796447754
New best test loss at epoch 150: 5.58965539932251
New best test loss at epoch 151: 5.588879585266113
New best test loss at epoch 152: 5.58811092376709
New best test loss at epoch 153: 5.587353229522705
New best test loss at epoch 154: 5.586602687835693
New best test loss at epoch 155: 5.585862636566162
New best test loss at epoch 156: 5.585130214691162
New best test loss at epoch 157: 5.584404945373535
New best test loss at epoch 158: 5.583689212799072
New best test loss at epoch 159: 5.582980632781982
New best test loss at epoch 160: 5.582280158996582
New best test loss at epoch 161: 5.581587314605713
New best test loss at epoch 162: 5.58090353012085
New best test loss at epoch 163: 5.580227375030518
New best test loss at epoch 164: 5.579558372497559
New best test loss at epoch 165: 5.578897953033447
New best test loss at epoch 166: 5.578242778778076
New best test loss at epoch 167: 5.577597141265869
New best test loss at epoch 168: 5.576958656311035
New best test loss at epoch 169: 5.5763258934021
New best test loss at epoch 170: 5.575703144073486
New best test loss at epoch 171: 5.575083255767822
New best test loss at epoch 172: 5.574471950531006
New best test loss at epoch 173: 5.5738701820373535
New best test loss at epoch 174: 5.573271751403809
New best test loss at epoch 175: 5.572683334350586
New best test loss at epoch 176: 5.572096347808838
New best test loss at epoch 177: 5.5715203285217285
New best test loss at epoch 178: 5.570950031280518
New best test loss at epoch 179: 5.57038688659668
New best test loss at epoch 180: 5.569828987121582
New best test loss at epoch 181: 5.569275856018066
New best test loss at epoch 182: 5.568732261657715
New best test loss at epoch 183: 5.568192958831787
New best test loss at epoch 184: 5.567658424377441
New best test loss at epoch 185: 5.5671305656433105
New best test loss at epoch 186: 5.5666093826293945
New best test loss at epoch 187: 5.566092491149902
New best test loss at epoch 188: 5.565583229064941
New best test loss at epoch 189: 5.565077781677246
New best test loss at epoch 190: 5.56458044052124
New best test loss at epoch 191: 5.564085960388184
New best test loss at epoch 192: 5.563599109649658
New best test loss at epoch 193: 5.56311559677124
New best test loss at epoch 194: 5.5626397132873535
New best test loss at epoch 195: 5.562167167663574
New best test loss at epoch 196: 5.561700344085693
New best test loss at epoch 197: 5.5612382888793945
New best test loss at epoch 198: 5.560781478881836
New best test loss at epoch 199: 5.560329914093018
New best test loss at epoch 200: 5.559884548187256
New best test loss at epoch 201: 5.559442520141602
New best test loss at epoch 202: 5.559005260467529
New best test loss at epoch 203: 5.558572292327881
New best test loss at epoch 204: 5.558145523071289
New best test loss at epoch 205: 5.557723045349121
New best test loss at epoch 206: 5.557303428649902
New best test loss at epoch 207: 5.556891441345215
New best test loss at epoch 208: 5.556482315063477
New best test loss at epoch 209: 5.556075572967529
New best test loss at epoch 210: 5.55567741394043
New best test loss at epoch 211: 5.555280685424805
New best test loss at epoch 212: 5.5548882484436035
New best test loss at epoch 213: 5.554502487182617
New best test loss at epoch 214: 5.554118633270264
New best test loss at epoch 215: 5.553738594055176
New best test loss at epoch 216: 5.5533647537231445
New best test loss at epoch 217: 5.552992820739746
New best test loss at epoch 218: 5.552623271942139
New best test loss at epoch 219: 5.552261829376221
New best test loss at epoch 220: 5.551901817321777
New best test loss at epoch 221: 5.551546573638916
New best test loss at epoch 222: 5.5511956214904785
New best test loss at epoch 223: 5.550848007202148
New best test loss at epoch 224: 5.550502300262451
New best test loss at epoch 225: 5.550161838531494
New best test loss at epoch 226: 5.549825668334961
New best test loss at epoch 227: 5.549490928649902
New best test loss at epoch 228: 5.549161911010742
New best test loss at epoch 229: 5.548834323883057
New best test loss at epoch 230: 5.5485124588012695
New best test loss at epoch 231: 5.548192024230957
New best test loss at epoch 232: 5.547876358032227
New best test loss at epoch 233: 5.547562122344971
New best test loss at epoch 234: 5.5472517013549805
New best test loss at epoch 235: 5.546945095062256
New best test loss at epoch 236: 5.5466413497924805
New best test loss at epoch 237: 5.546342372894287
New best test loss at epoch 238: 5.546045780181885
New best test loss at epoch 239: 5.545751094818115
New best test loss at epoch 240: 5.545459270477295
New best test loss at epoch 241: 5.545172214508057
New best test loss at epoch 242: 5.544887065887451
New best test loss at epoch 243: 5.544604778289795
New best test loss at epoch 244: 5.54432487487793
New best test loss at epoch 245: 5.544050216674805
New best test loss at epoch 246: 5.54377555847168
New best test loss at epoch 247: 5.5435051918029785
New best test loss at epoch 248: 5.543237686157227
New best test loss at epoch 249: 5.542972087860107
New best test loss at epoch 250: 5.542709827423096
New best test loss at epoch 251: 5.542449474334717
New best test loss at epoch 252: 5.542191982269287
New best test loss at epoch 253: 5.541937828063965
New best test loss at epoch 254: 5.541684150695801
New best test loss at epoch 255: 5.541434288024902
New best test loss at epoch 256: 5.5411882400512695
New best test loss at epoch 257: 5.540943622589111
New best test loss at epoch 258: 5.540701866149902
New best test loss at epoch 259: 5.540462017059326
New best test loss at epoch 260: 5.540225028991699
New best test loss at epoch 261: 5.539990425109863
New best test loss at epoch 262: 5.539757251739502
New best test loss at epoch 263: 5.539527416229248
New best test loss at epoch 264: 5.539299488067627
New best test loss at epoch 265: 5.539073467254639
New best test loss at epoch 266: 5.5388503074646
New best test loss at epoch 267: 5.538629055023193
New best test loss at epoch 268: 5.538410663604736
New best test loss at epoch 269: 5.538193225860596
New best test loss at epoch 270: 5.537979602813721
New best test loss at epoch 271: 5.537766456604004
New best test loss at epoch 272: 5.537554740905762
New best test loss at epoch 273: 5.537346363067627
New best test loss at epoch 274: 5.537139415740967
New best test loss at epoch 275: 5.536937236785889
New best test loss at epoch 276: 5.536733627319336
New best test loss at epoch 277: 5.536532878875732
New best test loss at epoch 278: 5.53633451461792
New best test loss at epoch 279: 5.53613805770874
New best test loss at epoch 280: 5.535943984985352
New best test loss at epoch 281: 5.535750865936279
New best test loss at epoch 282: 5.53555965423584
New best test loss at epoch 283: 5.535370826721191
New best test loss at epoch 284: 5.535183906555176
New best test loss at epoch 285: 5.534997463226318
